id,action,pos_x,pos_y
1,musketeer,274.24,713.87
3,minions,117.8,466.74
5,mini pekka,343.98,447.65
8,arrows,359.06,503.91
14,giant,385.45,419.52
19,musketeer,394.87,424.55
24,knight,127.23,433.59
26,archers,120.63,414.5
32,fireball,188.48,177.41
33,giant,121.57,423.54
36,minions,118.74,413.5
41,arrows,104.61,340.16
44,musketeer,123.46,399.43
47,mini pekka,151.73,291.94
50,giant,264.82,295.96
53,fireball,257.28,189.47
55,minions,237.49,270.84
61,minions,0.0,0.0
