id,action,pos_x,pos_y
2,musketeer,365.65,738.99
7,minions,382.62,476.79
8,giant,391.1,362.26
15,fireball,371.31,206.55
20,archers,394.87,299.97
21,mini pekka,409.95,447.65
22,archers,290.26,539.07
28,arrows,214.87,175.4
30,fireball,196.96,172.39
34,knight,382.62,285.91
36,minions,382.62,293.95
42,giant,390.16,290.93
45,archers,390.16,290.93
