id,action,pos_x,pos_y
3,mini pekka,426.91,447.65
6,fireball,382.62,266.82
8,musketeer,276.13,704.83
14,minions,115.92,437.61
16,archers,128.17,558.16
17,arrows,124.4,387.38
22,mini pekka,115.92,460.71
26,musketeer,225.24,568.2
29,giant,387.33,422.54
33,minions,386.39,416.51
38,archers,225.24,528.02
40,mini pekka,86.7,510.94
47,giant,119.69,413.5
50,knight,365.65,317.05
50,fireball,115.92,246.73
53,musketeer,406.18,288.92
55,arrows,111.2,445.64
59,giant,386.39,296.96
60,mini pekka,120.63,506.92
62,minions,131.94,431.58
67,musketeer,0.0,0.0
