id,action,pos_x,pos_y
2,mini pekka,423.14,838.44
4,mini pekka,383.56,440.62
5,knight,386.39,422.54
8,arrows,374.14,287.92
10,musketeer,380.73,422.54
15,minions,391.1,459.71
20,giant,385.45,389.38
23,mini pekka,381.68,438.61
28,fireball,373.19,219.61
32,musketeer,394.87,300.98
39,minions,392.04,442.63
40,archers,272.36,535.05
45,giant,391.1,290.93
47,mini pekka,392.98,436.6
49,knight,410.89,506.92
52,minions,380.73,333.13
55,fireball,185.65,174.4
58,giant,388.27,270.84
61,archers,423.14,313.03
62,arrows,350.58,241.71
65,musketeer,392.98,292.94
66,musketeer,0.0,0.0
