id,action,pos_x,pos_y
2,knight,261.99,705.84
6,archers,305.34,523.0
8,mini pekka,130.99,463.73
11,musketeer,219.58,640.54
14,giant,120.63,383.36
23,knight,390.16,416.51
25,mini pekka,129.11,471.76
27,minions,112.15,532.04
35,giant,383.56,419.52
37,archers,198.85,543.09
42,fireball,395.81,245.73
48,knight,270.47,704.83
51,mini pekka,117.8,463.73
52,minions,98.95,509.94
57,arrows,103.66,390.39
58,giant,119.69,275.86
61,fireball,317.59,180.43
65,knight,382.62,444.64
66,minions,381.68,444.64
69,minions,0.0,393.4
69,minions,0.0,0.0
