id,action,pos_x,pos_y
6,mini pekka,129.11,454.68
7,minions,113.09,497.88
12,knight,378.85,418.52
14,archers,390.16,413.5
22,giant,378.85,423.54
23,musketeer,299.69,495.87
25,minions,383.56,498.89
35,mini pekka,395.81,330.11
36,arrows,391.1,377.33
40,giant,124.4,423.54
42,musketeer,126.28,424.55
46,archers,289.32,508.93
48,minions,400.52,516.97
52,fireball,362.83,456.69
55,mini pekka,376.02,429.57
59,knight,194.14,300.98
62,giant,154.55,291.94
65,arrows,380.73,498.89
69,musketeer,191.31,501.9
70,musketeer,0.0,0.0
