id,action,pos_x,pos_y
2,giant,327.02,697.8
5,giant,311.94,503.91
9,mini pekka,379.79,424.55
13,musketeer,294.03,525.01
20,minions,376.02,297.97
23,giant,380.73,272.85
26,fireball,190.37,175.4
